t_s,q_NB_w,q_NB_x,q_NB_y,q_NB_z,omega_BN_B_x_radps,omega_BN_B_y_radps,omega_BN_B_z_radps,H_B_x_Nms,H_B_y_Nms,H_B_z_Nms,H_I_x_Nms,H_I_y_Nms,H_I_z_Nms,H_I_mag_Nms,KE_rot_J
0,0.5,0.5,0.5,0.5,0,0.1,0.2,0,1.5,4,4,0,1.5,4.272,0.475
0.01,0.49925,0.50025,0.49975,0.50075,-0.0001,0.0999999,0.2,-0.001,1.5,4,4,3.96384e-16,1.5,4.272,0.475
0.02,0.498499,0.500498,0.499498,0.501499,-0.0002,0.0999997,0.2,-0.002,1.5,4,4,1.04083e-16,1.5,4.272,0.475
0.03,0.497748,0.500746,0.499246,0.502248,-0.000299999,0.0999994,0.2,-0.00299999,1.49999,4,4,5.22152e-16,1.5,4.272,0.475
0.04,0.496997,0.500993,0.498993,0.502997,-0.000399999,0.0999989,0.2,-0.00399999,1.49998,4,4,5.58581e-16,1.5,4.272,0.475
0.05,0.496245,0.501239,0.498739,0.503745,-0.000499997,0.0999983,0.2,-0.00499997,1.49998,4.00001,4,9.71445e-16,1.5,4.272,0.475
0.06,0.495493,0.501484,0.498484,0.504493,-0.000599996,0.0999976,0.2,-0.00599996,1.49996,4.00001,4,9.02056e-16,1.5,4.272,0.475
0.07,0.494741,0.501729,0.498229,0.505241,-0.000699993,0.0999967,0.200001,-0.00699993,1.49995,4.00001,4,2.74086e-16,1.5,4.272,0.475
0.08,0.493988,0.501972,0.497972,0.505988,-0.00079999,0.0999957,0.200001,-0.0079999,1.49994,4.00002,4,3.67761e-16,1.5,4.272,0.475
0.09,0.493235,0.502215,0.497715,0.506735,-0.000899985,0.0999946,0.200001,-0.00899985,1.49992,4.00002,4,6.10623e-16,1.5,4.272,0.475
0.1,0.492481,0.502456,0.497456,0.507481,-0.00099998,0.0999933,0.200001,-0.0099998,1.4999,4.00002,4,1.5335e-15,1.5,4.272,0.475
0.11,0.491728,0.502697,0.497197,0.508227,-0.00109997,0.0999919,0.200002,-0.0109997,1.49988,4.00003,4,1.45023e-15,1.5,4.272,0.475
0.12,0.490973,0.502937,0.496937,0.508973,-0.00119997,0.0999904,0.200002,-0.0119997,1.49986,4.00004,4,1.72085e-15,1.5,4.272,0.475
0.13,0.490219,0.503176,0.496676,0.509718,-0.00129996,0.0999887,0.200002,-0.0129996,1.49983,4.00004,4,2.15106e-15,1.5,4.272,0.475
0.14,0.489464,0.503414,0.496414,0.510463,-0.00139994,0.0999869,0.200002,-0.0139994,1.4998,4.00005,4,2.46331e-15,1.5,4.272,0.475
0.15,0.488709,0.503652,0.496151,0.511207,-0.00149993,0.099985,0.200003,-0.0149993,1.49978,4.00006,4,2.27596e-15,1.5,4.272,0.475
0.16,0.487953,0.503888,0.495888,0.511951,-0.00159992,0.0999829,0.200003,-0.0159992,1.49974,4.00006,4,3.02536e-15,1.5,4.272,0.475
0.17,0.487197,0.504124,0.495623,0.512695,-0.0016999,0.0999807,0.200004,-0.016999,1.49971,4.00007,4,3.15026e-15,1.5,4.272,0.475
0.18,0.486441,0.504359,0.495358,0.513438,-0.00179988,0.0999784,0.200004,-0.0179988,1.49968,4.00008,4,3.56659e-15,1.5,4.272,0.475
0.19,0.485684,0.504593,0.495092,0.514181,-0.00189986,0.0999759,0.200005,-0.0189986,1.49964,4.00009,4,3.44169e-15,1.5,4.272,0.475
0.2,0.484927,0.504826,0.494824,0.514923,-0.00199984,0.0999733,0.200005,-0.0199984,1.4996,4.0001,4,3.38618e-15,1.5,4.272,0.475
0.21,0.484169,0.505058,0.494556,0.515665,-0.00209981,0.0999706,0.200006,-0.0209981,1.49956,4.00011,4,4.6213e-15,1.5,4.272,0.475
0.22,0.483412,0.505289,0.494287,0.516407,-0.00219979,0.0999677,0.200006,-0.0219979,1.49952,4.00012,4,4.55191e-15,1.5,4.272,0.475
0.23,0.482654,0.50552,0.494018,0.517148,-0.00229975,0.0999647,0.200007,-0.0229975,1.49947,4.00013,4,4.81559e-15,1.5,4.272,0.475
0.24,0.481895,0.505749,0.493747,0.517889,-0.00239972,0.0999616,0.200007,-0.0239972,1.49942,4.00014,4,5.19029e-15,1.5,4.272,0.475
0.25,0.481136,0.505978,0.493475,0.518629,-0.00249969,0.0999583,0.200008,-0.0249969,1.49938,4.00016,4,5.21805e-15,1.5,4.272,0.475
0.26,0.480377,0.506206,0.493203,0.519369,-0.00259965,0.0999549,0.200008,-0.0259965,1.49932,4.00017,4,5.4956e-15,1.5,4.272,0.475
0.27,0.479618,0.506433,0.49293,0.520109,-0.0026996,0.0999514,0.200009,-0.026996,1.49927,4.00018,4,6.05072e-15,1.5,4.272,0.475
0.28,0.478858,0.506659,0.492655,0.520848,-0.00279956,0.0999477,0.20001,-0.0279956,1.49922,4.0002,4,6.02296e-15,1.5,4.272,0.475
0.29,0.478098,0.506884,0.49238,0.521587,-0.00289951,0.0999439,0.200011,-0.0289951,1.49916,4.00021,4,5.8703e-15,1.5,4.272,0.475
0.3,0.477337,0.507108,0.492104,0.522325,-0.00299946,0.09994,0.200011,-0.0299946,1.4991,4.00022,4,6.13398e-15,1.5,4.272,0.475
0.31,0.476576,0.507332,0.491827,0.523063,-0.0030994,0.0999359,0.200012,-0.030994,1.49904,4.00024,4,6.31439e-15,1.5,4.272,0.475
0.32,0.475815,0.507555,0.49155,0.523801,-0.00319934,0.0999317,0.200013,-0.0319934,1.49898,4.00026,4,6.05072e-15,1.5,4.272,0.475
0.33,0.475054,0.507776,0.491271,0.524538,-0.00329928,0.0999274,0.200014,-0.0329928,1.49891,4.00027,4,6.32827e-15,1.5,4.272,0.475
0.34,0.474292,0.507997,0.490991,0.525274,-0.00339921,0.0999229,0.200014,-0.0339921,1.49884,4.00029,4,6.77236e-15,1.5,4.272,0.475
0.35,0.47353,0.508217,0.490711,0.526011,-0.00349914,0.0999183,0.200015,-0.0349914,1.49878,4.00031,4,7.02216e-15,1.5,4.272,0.475
0.36,0.472767,0.508437,0.49043,0.526747,-0.00359906,0.0999136,0.200016,-0.0359906,1.4987,4.00032,4,6.85563e-15,1.5,4.272,0.475
0.37,0.472005,0.508655,0.490147,0.527482,-0.00369898,0.0999087,0.200017,-0.0369898,1.49863,4.00034,4,7.29972e-15,1.5,4.272,0.475
0.38,0.471241,0.508873,0.489864,0.528217,-0.00379889,0.0999037,0.200018,-0.0379889,1.49856,4.00036,4,8.35443e-15,1.5,4.272,0.475
0.39,0.470478,0.509089,0.48958,0.528952,-0.00389881,0.0998986,0.200019,-0.0389881,1.49848,4.00038,4,7.88258e-15,1.5,4.272,0.475
0.4,0.469714,0.509305,0.489295,0.529686,-0.00399871,0.0998933,0.20002,-0.0399871,1.4984,4.0004,4,8.21565e-15,1.5,4.272,0.475
0.41,0.46895,0.50952,0.48901,0.530419,-0.00409861,0.0998879,0.200021,-0.0409861,1.49832,4.00042,4,8.21565e-15,1.5,4.272,0.475
0.42,0.468186,0.509734,0.488723,0.531153,-0.00419851,0.0998824,0.200022,-0.0419851,1.49824,4.00044,4,8.65974e-15,1.5,4.272,0.475
0.43,0.467421,0.509947,0.488435,0.531886,-0.0042984,0.0998767,0.200023,-0.042984,1.49815,4.00046,4,9.38138e-15,1.5,4.272,0.475
0.44,0.466656,0.51016,0.488147,0.532618,-0.00439828,0.099871,0.200024,-0.0439828,1.49806,4.00048,4,9.71445e-15,1.5,4.272,0.475
0.45,0.46589,0.510371,0.487858,0.53335,-0.00449816,0.099865,0.200025,-0.0449816,1.49798,4.00051,4,9.71445e-15,1.5,4.272,0.475
0.46,0.465125,0.510582,0.487567,0.534081,-0.00459804,0.099859,0.200026,-0.0459804,1.49788,4.00053,4,1.02418e-14,1.5,4.272,0.475
0.47,0.464359,0.510792,0.487276,0.534813,-0.00469791,0.0998528,0.200028,-0.0469791,1.49779,4.00055,4,1.01585e-14,1.5,4.272,0.475
0.48,0.463592,0.511001,0.486984,0.535543,-0.00479777,0.0998464,0.200029,-0.0479777,1.4977,4.00058,4,1.03806e-14,1.5,4.272,0.475
0.49,0.462826,0.511209,0.486691,0.536273,-0.00489763,0.09984,0.20003,-0.0489763,1.4976,4.0006,4,9.76996e-15,1.5,4.272,0.475
0.5,0.462059,0.511416,0.486397,0.537003,-0.00499748,0.0998334,0.200031,-0.0499748,1.4975,4.00062,4,1.06304e-14,1.5,4.272,0.475
0.51,0.461292,0.511623,0.486103,0.537733,-0.00509733,0.0998266,0.200032,-0.0509733,1.4974,4.00065,4,1.07137e-14,1.5,4.272,0.475
0.52,0.460524,0.511828,0.485807,0.538462,-0.00519717,0.0998198,0.200034,-0.0519717,1.4973,4.00068,4,1.08524e-14,1.5,4.272,0.475
0.53,0.459756,0.512033,0.485511,0.53919,-0.005297,0.0998128,0.200035,-0.05297,1.49719,4.0007,4,1.1352e-14,1.5,4.272,0.475
0.54,0.458988,0.512237,0.485213,0.539918,-0.00539683,0.0998056,0.200036,-0.0539683,1.49708,4.00073,4,1.16296e-14,1.5,4.272,0.475
0.55,0.458219,0.51244,0.484915,0.540646,-0.00549665,0.0997984,0.200038,-0.0549665,1.49698,4.00076,4,1.16296e-14,1.5,4.272,0.475
0.56,0.457451,0.512642,0.484616,0.541373,-0.00559646,0.099791,0.200039,-0.0559646,1.49686,4.00078,4,1.14075e-14,1.5,4.272,0.475
0.57,0.456682,0.512844,0.484316,0.542099,-0.00569627,0.0997834,0.200041,-0.0569627,1.49675,4.00081,4,1.21292e-14,1.5,4.272,0.475
0.58,0.455912,0.513044,0.484015,0.542826,-0.00579607,0.0997758,0.200042,-0.0579607,1.49664,4.00084,4,1.16573e-14,1.5,4.272,0.475
0.59,0.455143,0.513244,0.483713,0.543551,-0.00589586,0.099768,0.200043,-0.0589586,1.49652,4.00087,4,1.2268e-14,1.5,4.272,0.475
0.6,0.454373,0.513443,0.48341,0.544277,-0.00599565,0.0997601,0.200045,-0.0599565,1.4964,4.0009,4,1.27953e-14,1.5,4.272,0.475
0.61,0.453602,0.513641,0.483106,0.545001,-0.00609543,0.099752,0.200046,-0.0609543,1.49628,4.00093,4,1.28508e-14,1.5,4.272,0.475
0.62,0.452832,0.513838,0.482802,0.545726,-0.0061952,0.0997438,0.200048,-0.061952,1.49616,4.00096,4,1.36557e-14,1.5,4.272,0.475
0.63,0.452061,0.514034,0.482496,0.54645,-0.00629496,0.0997355,0.20005,-0.0629496,1.49603,4.00099,4,1.37668e-14,1.5,4.272,0.475
0.64,0.45129,0.51423,0.48219,0.547173,-0.00639472,0.099727,0.200051,-0.0639472,1.49591,4.00102,4,1.44329e-14,1.5,4.272,0.475
0.65,0.450518,0.514424,0.481882,0.547896,-0.00649447,0.0997184,0.200053,-0.0649447,1.49578,4.00105,4,1.47105e-14,1.5,4.272,0.475
0.66,0.449746,0.514618,0.481574,0.548619,-0.00659421,0.0997097,0.200054,-0.0659421,1.49565,4.00109,4,1.58207e-14,1.5,4.272,0.475
0.67,0.448974,0.514811,0.481265,0.549341,-0.00669394,0.0997008,0.200056,-0.0669394,1.49551,4.00112,4,1.57097e-14,1.5,4.272,0.475
0.68,0.448202,0.515003,0.480955,0.550062,-0.00679367,0.0996918,0.200058,-0.0679367,1.49538,4.00115,4,1.62648e-14,1.5,4.272,0.475
0.69,0.447429,0.515194,0.480644,0.550784,-0.00689338,0.0996827,0.200059,-0.0689338,1.49524,4.00119,4,1.64868e-14,1.5,4.272,0.475
0.7,0.446657,0.515385,0.480333,0.551504,-0.00699309,0.0996734,0.200061,-0.0699309,1.4951,4.00122,4,1.58762e-14,1.5,4.272,0.475
0.71,0.445883,0.515574,0.48002,0.552224,-0.00709279,0.0996641,0.200063,-0.0709279,1.49496,4.00126,4,1.67644e-14,1.5,4.272,0.475
0.72,0.44511,0.515763,0.479706,0.552944,-0.00719248,0.0996545,0.200065,-0.0719248,1.49482,4.00129,4,1.63758e-14,1.5,4.272,0.475
0.73,0.444336,0.515951,0.479392,0.553663,-0.00729216,0.0996449,0.200066,-0.0729216,1.49467,4.00133,4,1.68754e-14,1.5,4.272,0.475
0.74,0.443562,0.516138,0.479076,0.554382,-0.00739184,0.0996351,0.200068,-0.0739184,1.49453,4.00137,4,1.7375e-14,1.5,4.272,0.475
0.75,0.442788,0.516324,0.47876,0.555101,-0.0074915,0.0996251,0.20007,-0.074915,1.49438,4.0014,4,1.74305e-14,1.5,4.272,0.475
0.76,0.442013,0.51651,0.478443,0.555818,-0.00759116,0.0996151,0.200072,-0.0759116,1.49423,4.00144,4,1.69864e-14,1.5,4.272,0.475
0.77,0.441238,0.516694,0.478125,0.556536,-0.0076908,0.0996049,0.200074,-0.076908,1.49407,4.00148,4,1.74305e-14,1.5,4.272,0.475
0.78,0.440463,0.516878,0.477806,0.557253,-0.00779044,0.0995946,0.200076,-0.0779044,1.49392,4.00152,4,1.78746e-14,1.5,4.272,0.475
0.79,0.439688,0.517061,0.477486,0.557969,-0.00789007,0.0995841,0.200078,-0.0789007,1.49376,4.00156,4,1.73195e-14,1.5,4.272,0.475
0.8,0.438912,0.517243,0.477165,0.558685,-0.00798969,0.0995735,0.20008,-0.0798969,1.4936,4.0016,4,1.82077e-14,1.5,4.272,0.475
0.81,0.438136,0.517424,0.476844,0.5594,-0.0080893,0.0995628,0.200082,-0.080893,1.49344,4.00164,4,1.87628e-14,1.5,4.272,0.475
0.82,0.43736,0.517605,0.476521,0.560115,-0.00818889,0.0995519,0.200084,-0.0818889,1.49328,4.00168,4,1.88738e-14,1.5,4.272,0.475
0.83,0.436584,0.517784,0.476197,0.56083,-0.00828848,0.099541,0.200086,-0.0828848,1.49311,4.00172,4,1.90403e-14,1.5,4.272,0.475
0.84,0.435807,0.517963,0.475873,0.561544,-0.00838806,0.0995298,0.200088,-0.0838806,1.49295,4.00176,4,1.95399e-14,1.5,4.272,0.475
0.85,0.43503,0.518141,0.475548,0.562257,-0.00848763,0.0995186,0.20009,-0.0848763,1.49278,4.0018,4,1.95954e-14,1.5,4.272,0.475
0.86,0.434253,0.518318,0.475221,0.56297,-0.00858719,0.0995072,0.200092,-0.0858719,1.49261,4.00184,4,1.9762e-14,1.5,4.272,0.475
0.87,0.433475,0.518495,0.474894,0.563683,-0.00868674,0.0994957,0.200094,-0.0868674,1.49243,4.00189,4,2.02616e-14,1.5,4.272,0.475
0.88,0.432697,0.51867,0.474566,0.564395,-0.00878627,0.099484,0.200096,-0.0878627,1.49226,4.00193,4,2.08167e-14,1.5,4.272,0.475
0.89,0.431919,0.518845,0.474237,0.565106,-0.0088858,0.0994722,0.200099,-0.088858,1.49208,4.00197,4,2.12608e-14,1.5,4.272,0.475
0.9,0.431141,0.519018,0.473908,0.565817,-0.00898532,0.0994603,0.200101,-0.0898532,1.4919,4.00202,4,2.09832e-14,1.5,4.272,0.475
0.91,0.430362,0.519191,0.473577,0.566528,-0.00908482,0.0994483,0.200103,-0.0908482,1.49172,4.00206,4,2.14828e-14,1.5,4.272,0.475
0.92,0.429583,0.519364,0.473245,0.567238,-0.00918432,0.0994361,0.200105,-0.0918432,1.49154,4.00211,4,2.08722e-14,1.5,4.272,0.475
0.93,0.428804,0.519535,0.472913,0.567947,-0.0092838,0.0994237,0.200108,-0.092838,1.49136,4.00215,4,2.07612e-14,1.5,4.272,0.475
0.94,0.428025,0.519705,0.472579,0.568656,-0.00938327,0.0994113,0.20011,-0.0938327,1.49117,4.0022,4,2.10942e-14,1.5,4.272,0.475
0.95,0.427245,0.519875,0.472245,0.569365,-0.00948273,0.0993987,0.200112,-0.0948273,1.49098,4.00225,4,2.15938e-14,1.5,4.272,0.475
0.96,0.426465,0.520044,0.471909,0.570073,-0.00958218,0.099386,0.200115,-0.0958218,1.49079,4.00229,4,2.20379e-14,1.5,4.272,0.475
0.97,0.425685,0.520212,0.471573,0.57078,-0.00968162,0.0993731,0.200117,-0.0968162,1.4906,4.00234,4,2.23155e-14,1.5,4.272,0.475
0.98,0.424905,0.520379,0.471236,0.571487,-0.00978104,0.0993602,0.20012,-0.0978104,1.4904,4.00239,4,2.28151e-14,1.5,4.272,0.475
0.99,0.424124,0.520546,0.470898,0.572194,-0.00988046,0.099347,0.200122,-0.0988046,1.49021,4.00244,4,2.27596e-14,1.5,4.272,0.475
1,0.423343,0.520711,0.470559,0.5729,-0.00997986,0.0993338,0.200124,-0.0997986,1.49001,4.00249,4,2.32592e-14,1.5,4.272,0.475
1.01,0.422562,0.520876,0.470219,0.573605,-0.0100792,0.0993204,0.200127,-0.100792,1.48981,4.00254,4,2.37033e-14,1.5,4.272,0.475
1.02,0.421781,0.52104,0.469879,0.57431,-0.0101786,0.0993069,0.200129,-0.101786,1.4896,4.00259,4,2.37033e-14,1.5,4.272,0.475
1.03,0.420999,0.521203,0.469537,0.575014,-0.010278,0.0992933,0.200132,-0.10278,1.4894,4.00264,4,2.37588e-14,1.5,4.272,0.475
1.04,0.420218,0.521366,0.469195,0.575718,-0.0103773,0.0992795,0.200135,-0.103773,1.48919,4.00269,4,2.43694e-14,1.5,4.272,0.475
1.05,0.419436,0.521527,0.468851,0.576422,-0.0104767,0.0992656,0.200137,-0.104767,1.48898,4.00274,4,2.5091e-14,1.5,4.272,0.475
1.06,0.418653,0.521688,0.468507,0.577125,-0.010576,0.0992515,0.20014,-0.10576,1.48877,4.0028,4,2.53131e-14,1.5,4.272,0.475
1.07,0.417871,0.521848,0.468162,0.577827,-0.0106753,0.0992373,0.200142,-0.106753,1.48856,4.00285,4,2.51466e-14,1.5,4.272,0.475
1.08,0.417088,0.522007,0.467815,0.578529,-0.0107746,0.099223,0.200145,-0.107746,1.48835,4.0029,4,2.54241e-14,1.5,4.272,0.475
1.09,0.416305,0.522165,0.467468,0.57923,-0.0108739,0.0992086,0.200148,-0.108739,1.48813,4.00295,4,2.53686e-14,1.5,4.272,0.475
1.1,0.415522,0.522322,0.46712,0.579931,-0.0109732,0.099194,0.20015,-0.109732,1.48791,4.00301,4,2.55351e-14,1.5,4.272,0.475
1.11,0.414738,0.522479,0.466771,0.580631,-0.0110724,0.0991793,0.200153,-0.110724,1.48769,4.00306,4,2.54796e-14,1.5,4.272,0.475
1.12,0.413954,0.522635,0.466422,0.581331,-0.0111717,0.0991645,0.200156,-0.111717,1.48747,4.00312,4,2.62568e-14,1.5,4.272,0.475
1.13,0.41317,0.52279,0.466071,0.58203,-0.0112709,0.0991495,0.200159,-0.112709,1.48724,4.00317,4,2.57572e-14,1.5,4.272,0.475
1.14,0.412386,0.522944,0.465719,0.582729,-0.0113702,0.0991344,0.200162,-0.113702,1.48702,4.00323,4,2.58682e-14,1.5,4.272,0.475
1.15,0.411602,0.523098,0.465367,0.583427,-0.0114694,0.0991191,0.200164,-0.114694,1.48679,4.00329,4,2.64788e-14,1.5,4.272,0.475
1.16,0.410817,0.52325,0.465013,0.584124,-0.0115686,0.0991038,0.200167,-0.115686,1.48656,4.00334,4,2.65343e-14,1.5,4.272,0.475
1.17,0.410032,0.523402,0.464659,0.584822,-0.0116677,0.0990883,0.20017,-0.116677,1.48632,4.0034,4,2.68119e-14,1.5,4.272,0.475
1.18,0.409247,0.523553,0.464304,0.585518,-0.0117669,0.0990726,0.200173,-0.117669,1.48609,4.00346,4,2.74225e-14,1.5,4.272,0.475
1.19,0.408462,0.523703,0.463947,0.586214,-0.0118661,0.0990569,0.200176,-0.118661,1.48585,4.00352,4,2.79776e-14,1.5,4.272,0.475
1.2,0.407676,0.523852,0.46359,0.58691,-0.0119652,0.099041,0.200179,-0.119652,1.48561,4.00358,4,2.75335e-14,1.5,4.272,0.475
1.21,0.40689,0.524001,0.463232,0.587604,-0.0120643,0.0990249,0.200182,-0.120643,1.48537,4.00364,4,2.83662e-14,1.5,4.272,0.475
1.22,0.406104,0.524149,0.462873,0.588299,-0.0121634,0.0990088,0.200185,-0.121634,1.48513,4.0037,4,2.82552e-14,1.5,4.272,0.475
1.23,0.405318,0.524296,0.462514,0.588993,-0.0122625,0.0989925,0.200188,-0.122625,1.48489,4.00376,4,2.78111e-14,1.5,4.272,0.475
1.24,0.404532,0.524442,0.462153,0.589686,-0.0123616,0.098976,0.200191,-0.123616,1.48464,4.00382,4,2.79776e-14,1.5,4.272,0.475
1.25,0.403745,0.524587,0.461791,0.590379,-0.0124607,0.0989595,0.200194,-0.124607,1.48439,4.00388,4,2.88658e-14,1.5,4.272,0.475
1.26,0.402958,0.524732,0.461429,0.591071,-0.0125597,0.0989428,0.200197,-0.125597,1.48414,4.00394,4,2.93099e-14,1.5,4.272,0.475
1.27,0.402171,0.524876,0.461065,0.591763,-0.0126587,0.0989259,0.2002,-0.126587,1.48389,4.004,4,2.93654e-14,1.5,4.272,0.475
1.28,0.401384,0.525019,0.460701,0.592454,-0.0127578,0.098909,0.200203,-0.127578,1.48363,4.00407,4,2.95319e-14,1.5,4.272,0.475
1.29,0.400596,0.525161,0.460335,0.593144,-0.0128568,0.0988919,0.200207,-0.128568,1.48338,4.00413,4,3.0087e-14,1.5,4.272,0.475
1.3,0.399809,0.525302,0.459969,0.593834,-0.0129557,0.0988747,0.20021,-0.129557,1.48312,4.00419,4,2.9865e-14,1.5,4.272,0.475
1.31,0.399021,0.525443,0.459602,0.594524,-0.0130547,0.0988573,0.200213,-0.130547,1.48286,4.00426,4,3.03091e-14,1.5,4.272,0.475
1.32,0.398233,0.525583,0.459234,0.595213,-0.0131537,0.0988398,0.200216,-0.131537,1.4826,4.00432,4,3.0087e-14,1.5,4.272,0.475
1.33,0.397444,0.525722,0.458865,0.595901,-0.0132526,0.0988222,0.200219,-0.132526,1.48233,4.00439,4,2.9976e-14,1.5,4.272,0.475
1.34,0.396656,0.52586,0.458495,0.596589,-0.0133515,0.0988044,0.200223,-0.133515,1.48207,4.00445,4,3.03091e-14,1.5,4.272,0.475
1.35,0.395867,0.525997,0.458124,0.597276,-0.0134504,0.0987865,0.200226,-0.134504,1.4818,4.00452,4,3.01981e-14,1.5,4.272,0.475
1.36,0.395078,0.526134,0.457753,0.597962,-0.0135493,0.0987685,0.200229,-0.135493,1.48153,4.00459,4,3.06422e-14,1.5,4.272,0.475
1.37,0.394289,0.52627,0.45738,0.598649,-0.0136482,0.0987504,0.200233,-0.136482,1.48126,4.00465,4,3.05311e-14,1.5,4.272,0.475
1.38,0.393499,0.526405,0.457007,0.599334,-0.0137471,0.0987321,0.200236,-0.137471,1.48098,4.00472,4,3.13083e-14,1.5,4.272,0.475
1.39,0.39271,0.526539,0.456632,0.600019,-0.0138459,0.0987137,0.200239,-0.138459,1.48071,4.00479,4,3.13083e-14,1.5,4.272,0.475
1.4,0.39192,0.526672,0.456257,0.600703,-0.0139447,0.0986951,0.200243,-0.139447,1.48043,4.00486,4,3.08642e-14,1.5,4.272,0.475
1.41,0.39113,0.526805,0.455881,0.601387,-0.0140435,0.0986764,0.200246,-0.140435,1.48015,4.00493,4,3.13083e-14,1.5,4.272,0.475
1.42,0.39034,0.526937,0.455504,0.602071,-0.0141423,0.0986576,0.20025,-0.141423,1.47986,4.005,4,3.19744e-14,1.5,4.272,0.475
1.43,0.38955,0.527068,0.455125,0.602753,-0.0142411,0.0986387,0.200253,-0.142411,1.47958,4.00507,4,3.15303e-14,1.5,4.272,0.475
1.44,0.388759,0.527198,0.454746,0.603435,-0.0143398,0.0986196,0.200257,-0.143398,1.47929,4.00514,4,3.14193e-14,1.5,4.272,0.475
1.45,0.387968,0.527328,0.454367,0.604117,-0.0144386,0.0986004,0.20026,-0.144386,1.47901,4.00521,4,3.21965e-14,1.5,4.272,0.475
1.46,0.387177,0.527456,0.453986,0.604798,-0.0145373,0.098581,0.200264,-0.145373,1.47872,4.00528,4,3.23075e-14,1.5,4.272,0.475
1.47,0.386386,0.527584,0.453604,0.605478,-0.014636,0.0985616,0.200268,-0.14636,1.47842,4.00535,4,3.23075e-14,1.5,4.272,0.475
1.48,0.385595,0.527712,0.453221,0.606158,-0.0147347,0.098542,0.200271,-0.147347,1.47813,4.00542,4,3.24185e-14,1.5,4.272,0.475
1.49,0.384803,0.527838,0.452838,0.606837,-0.0148333,0.0985222,0.200275,-0.148333,1.47783,4.0055,4,3.26406e-14,1.5,4.272,0.475
1.5,0.384012,0.527963,0.452453,0.607516,-0.014932,0.0985024,0.200279,-0.14932,1.47754,4.00557,4,3.29736e-14,1.5,4.272,0.475
1.51,0.38322,0.528088,0.452068,0.608194,-0.0150306,0.0984824,0.200282,-0.150306,1.47724,4.00564,4,3.29736e-14,1.5,4.272,0.475
1.52,0.382428,0.528212,0.451682,0.608871,-0.0151292,0.0984622,0.200286,-0.151292,1.47693,4.00572,4,3.41949e-14,1.5,4.272,0.475
1.53,0.381636,0.528336,0.451294,0.609548,-0.0152278,0.0984419,0.20029,-0.152278,1.47663,4.00579,4,3.37508e-14,1.5,4.272,0.475
1.54,0.380843,0.528458,0.450906,0.610225,-0.0153264,0.0984216,0.200293,-0.153264,1.47632,4.00587,4,3.40838e-14,1.5,4.272,0.475
1.55,0.380051,0.52858,0.450517,0.6109,-0.015425,0.098401,0.200297,-0.15425,1.47602,4.00594,4,3.45279e-14,1.5,4.272,0.475
1.56,0.379258,0.528701,0.450127,0.611575,-0.0155235,0.0983804,0.200301,-0.155235,1.47571,4.00602,4,3.51941e-14,1.5,4.272,0.475
1.57,0.378465,0.528821,0.449736,0.61225,-0.015622,0.0983596,0.200305,-0.15622,1.47539,4.0061,4,3.45279e-14,1.5,4.272,0.475
1.58,0.377672,0.52894,0.449345,0.612924,-0.0157205,0.0983386,0.200309,-0.157205,1.47508,4.00617,4,3.44169e-14,1.5,4.272,0.475
1.59,0.376878,0.529059,0.448952,0.613597,-0.015819,0.0983176,0.200313,-0.15819,1.47476,4.00625,4,3.45279e-14,1.5,4.272,0.475
1.6,0.376085,0.529177,0.448558,0.61427,-0.0159175,0.0982964,0.200316,-0.159175,1.47445,4.00633,4,3.4639e-14,1.5,4.272,0.475
1.61,0.375291,0.529294,0.448164,0.614942,-0.0160159,0.0982751,0.20032,-0.160159,1.47413,4.00641,4,3.4972e-14,1.5,4.272,0.475
1.62,0.374497,0.52941,0.447768,0.615614,-0.0161143,0.0982536,0.200324,-0.161143,1.4738,4.00649,4,3.56382e-14,1.5,4.272,0.475
1.63,0.373703,0.529525,0.447372,0.616285,-0.0162127,0.098232,0.200328,-0.162127,1.47348,4.00657,4,3.55271e-14,1.5,4.272,0.475
1.64,0.372909,0.52964,0.446975,0.616955,-0.0163111,0.0982103,0.200332,-0.163111,1.47315,4.00665,4,3.57492e-14,1.5,4.272,0.475
1.65,0.372115,0.529754,0.446577,0.617625,-0.0164095,0.0981885,0.200336,-0.164095,1.47283,4.00673,4,3.59712e-14,1.5,4.272,0.475
1.66,0.37132,0.529867,0.446178,0.618294,-0.0165078,0.0981665,0.20034,-0.165078,1.4725,4.00681,4,3.59712e-14,1.5,4.272,0.475
1.67,0.370525,0.52998,0.445778,0.618963,-0.0166061,0.0981444,0.200344,-0.166061,1.47217,4.00689,4,3.58602e-14,1.5,4.272,0.475
1.68,0.369731,0.530091,0.445377,0.619631,-0.0167045,0.0981221,0.200348,-0.167045,1.47183,4.00697,4,3.61933e-14,1.5,4.272,0.475
1.69,0.368936,0.530202,0.444975,0.620298,-0.0168027,0.0980997,0.200353,-0.168027,1.4715,4.00705,4,3.59712e-14,1.5,4.272,0.475
1.7,0.36814,0.530312,0.444572,0.620965,-0.016901,0.0980772,0.200357,-0.16901,1.47116,4.00713,4,3.59712e-14,1.5,4.272,0.475
1.71,0.367345,0.530422,0.444168,0.621631,-0.0169992,0.0980546,0.200361,-0.169992,1.47082,4.00722,4,3.60822e-14,1.5,4.272,0.475
1.72,0.36655,0.53053,0.443764,0.622296,-0.0170975,0.0980318,0.200365,-0.170975,1.47048,4.0073,4,3.59712e-14,1.5,4.272,0.475
